Test name,P2/Pintos group ID (anonymized),Log file name,Bug found?,Total verif?,Bug wall time (usecs),Bug CPU time (usecs),Eligible for sync-only verif?,Verif CPU time (usecs),Completed PPs,Completed SSes,Malloc-recycle PPs avoided,Bug type,,
broadcast_test,phosphorus,ls-id-log-20160510043701.log.Vfdht2.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,platinum,ls-id-log-20160511014115.log.vvzihT.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,potassium,ls-id-log-20160511025730.log.o4VjiQ.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,praseodymium,ls-id-log-20160511180721.log.HVCO1i.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,promethium,ls-id-log-20160511085616.log.iUpqOz.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,rhenium,ls-id-log-20160511064918.log.RWntbi.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,rhodium,ls-id-log-20160510223237.log.pX4F4t.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,rubidium,ls-id-log-20160510223358.log.bnoZUP.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,ruthenium,ls-id-log-20160511011614.log.f5Xll6.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,samarium,ls-id-log-20160510203714.log.MF6QAf.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,scandium,ls-id-log-20160509233208.log.LIjScy.gz,0,0,,,(QS had DR PPs),,2,4,1,,,
broadcast_test,selenium,ls-id-log-20160511013356.log.BmpJuu.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,silicon,ls-id-log-20160511180842.log.QmexW9.gz,1,0,20498338,46785818,,,2,3,2,,,
broadcast_test,silver,ls-id-log-20160510214854.log.8ofcVx.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,sodium,ls-id-log-20160504104336.log.WByilC.gz,0,0,,,(QS had DR PPs),,2,4,2,,,
broadcast_test,strontium,ls-id-log-20160510094304.log.3iNNHw.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,sulfur,ls-id-log-20160511002142.log.Likzsa.gz,0,0,,,(QS had DR PPs),,2,3,6,,,
broadcast_test,tantalum,ls-id-log-20160510233730.log.VpsrNW.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,technetium,ls-id-log-20160517062800.log.wEZjrr.gz,1,0,19859345,44700406,,,2,3,0,,,
broadcast_test,tellurium,ls-id-log-20160504063004.log.hLLO6A.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,terbium,ls-id-log-20160510223117.log.fK3TB4.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,thulium,ls-id-log-20160504090248.log.NXwXnZ.gz,0,0,,,(QS had DR PPs),,2,4,2,,,
broadcast_test,tin,ls-id-log-20160511164256.log.gkQDor.gz,0,0,,,(QS had DR PPs),,2,4,3,,,
broadcast_test,titanium,ls-id-log-20160511102702.log.EUxOL8.gz,0,0,,,(QS had DR PPs),,0,0,0,,,
broadcast_test,tungsten,ls-id-log-20160512010226.log.YI3JTr.gz,0,1,,,verif,90439447,2,4,0,,,
broadcast_test,vanadium,ls-id-log-20160504092911.log.2aG7pa.gz,0,1,,,verif,58771699,2,4,0,,,
broadcast_test,xenon,ls-id-log-20160511152817.log.u7Ep6D.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
broadcast_test,ytterbium,ls-id-log-20160511142013.log.bGE4D6.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,yttrium,ls-id-log-20160510144650.log.h2afoc.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,zinc,ls-id-log-20160510222856.log.UGxqgK.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
broadcast_test,zirconium,ls-id-log-20160510155127.log.nK2aUn.gz,0,1,,,verif,148414758,2,4,0,,,
mutex_test,aluminum,ls-id-log-20151030182605.log.2NMkWn.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,antimony,ls-id-log-20151030161634.log.2YbPsj.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,argon,ls-id-log-20151030181958.log.HJ1TI7.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,arsenic,ls-id-log-20151030161513.log.A5NuHD.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,barium,ls-id-log-20151030145040.log.uvACKV.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,beryllium,ls-id-log-20151030182724.log.8OcQvF.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,boron,ls-id-log-20151030161642.log.NIyvys.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,bromine,ls-id-log-20151030161754.log.iknCqc.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,cadmium,ls-id-log-20151030152344.log.98f3Zw.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,caesium,ls-id-log-20151030161641.log.HG4aXE.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,calcium,ls-id-log-20151030145756.log.eW9qpz.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,carbon,ls-id-log-20151030161512.log.O7f57L.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,cerium,ls-id-log-20151030201527.log.pO0OQf.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,chlorine,ls-id-log-20151030152504.log.XBYl8t.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,chromium,ls-id-log-20151030161635.log.vt4Gqd.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,cobalt,ls-id-log-20151030161520.log.yWoXwo.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,copper,ls-id-log-20151030161520.log.mWu0Kg.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,dysprosium,ls-id-log-20151030145201.log.nws6bD.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,erbium,ls-id-log-20151030161518.log.bZeTYd.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,europium,ls-id-log-20151030182845.log.wjOuhB.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,fluorine,ls-id-log-20151030161640.log.U8p0uk.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,gadolinium,ls-id-log-20151030182603.log.cuLqKD.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,gallium,ls-id-log-20151030161522.log.lXo9Pv.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,germanium,ls-id-log-20151030161515.log.zIibrm.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,gold,ls-id-log-20151030171758.log.OJazk0.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,hafnium,ls-id-log-20151030195010.log.yLVX06.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,helium,ls-id-log-20151030182725.log.ZECrcc.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,holmium,ls-id-log-20151030161517.log.ZrHvVt.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,hydrogen,ls-id-log-20151030161801.log.eb87SS.gz,0,0,,,(QS had DR PPs),,2,4,1,,,
mutex_test,indium,ls-id-log-20151030154632.log.6Nk4g7.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,iodine,ls-id-log-20151030161637.log.VjkMAk.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,iridium,ls-id-log-20151030152941.log.OT0Fns.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,iron,ls-id-log-20151030182845.log.QBM0hw.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,kyrpton,ls-id-log-20151030182724.log.As3a8W.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,lanthanum,ls-id-log-20151030150441.log.mr7Yo6.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,lithium,ls-id-log-20151030161759.log.dNspzD.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,lutetium,ls-id-log-20151030161516.log.1NX52g.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,magnesium,ls-id-log-20151030145203.log.gNgxWs.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,manganese,ls-id-log-20151030161640.log.JaAIIY.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,molybdenum,ls-id-log-20151030160344.log.KN97fD.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,neodymium,ls-id-log-20151030161638.log.ZvBc6x.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,neon,ls-id-log-20151030182845.log.cZQJLS.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,nickel,ls-id-log-20151030152855.log.2b4g28.gz,0,0,,,(QS had DR PPs),,2,4,2,,,
mutex_test,niobium,ls-id-log-20151030161638.log.Q0nnW9.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,nitrogen,ls-id-log-20151030161633.log.ifoJkT.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,osmium,ls-id-log-20151030161633.log.9r05v7.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,oxygen,ls-id-log-20151030161520.log.DmxtqH.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,palladium,ls-id-log-20151030150601.log.yhKqoj.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,phosphorus,ls-id-log-20151030145043.log.0IOf3A.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,platinum,ls-id-log-20151030201405.log.9sFdmt.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,potassium,ls-id-log-20151030161957.log.9kqZOk.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,praseodymium,ls-id-log-20151030182604.log.MmP2h5.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
