Test name,P2/Pintos group ID (anonymized),Log file name,Bug found?,Data-race (DR) PPs needed?,Total verif?,Bug wall time (usecs),Bug CPU time (usecs),Verif CPU time (usecs),Mutual timeout with ICB? (table 1 in paper),Completed DR PPs,Total DR PPs,Untested DR PPs,Completed PPs,Completed SSes,Malloc-recycle PPs avoided,Malloc-recycle NOT false positives,Bug type,,,,,
broadcast_test,nickel,ls-id-log-20160427181405.log.XpKkMh.gz,0,0,0,,,,1,5,5,0,7,39,14,1,,,,,,
broadcast_test,niobium,ls-id-log-20160427111313.log.NUkzYt.gz,0,0,1,,,75801802,0,0,0,0,2,4,0,0,,,,,,
broadcast_test,nitrogen,ls-id-log-20160427074959.log.ZwFcR2.gz,0,0,0,,,,0,25,25,0,28,1451,0,0,,,,,,
broadcast_test,osmium,ls-id-log-20160427100416.log.Wgi8Es.gz,0,0,1,,,30043696141,0,6,6,0,8,191,0,0,,,,,,
broadcast_test,oxygen,ls-id-log-20160427044558.log.XpA6tS.gz,0,0,0,,,,0,3,3,0,7,32,0,0,,,,,,
broadcast_test,palladium,ls-id-log-20160805003959.log.O1YX8S.gz,0,0,0,,,,0,17,17,0,29,223,0,0,,,,,,
broadcast_test,phosphorus,ls-id-log-20160427192325.log.LZrAd4.gz,1,1,0,453106337,4071599118,,0,147,152,5,175,466,0,0,,,,,,
broadcast_test,platinum,ls-id-log-20160428015328.log.AXiIA2.gz,0,0,0,,,,0,8,8,0,10,291,0,0,,,,,,
broadcast_test,potassium,ls-id-log-20160427044533.log.RNjNKY.gz,0,0,0,,,,1,62,140,78,155,227,0,0,,,,,,
broadcast_test,praseodymium,ls-id-log-20160427034406.log.Hrzqz1.gz,0,0,1,,,4263666358,0,4,4,0,6,50,0,0,,,,,,
broadcast_test,promethium,ls-id-log-20160427121501.log.NxGuW1.gz,0,0,0,,,,0,9,9,0,11,304,0,0,,,,,,
broadcast_test,rhenium,ls-id-log-20160427100047.log.734gxg.gz,0,0,1,,,971579870,0,3,3,0,5,25,0,0,,,,,,
broadcast_test,rhodium,ls-id-log-20160427131458.log.ewsqIB.gz,0,0,0,,,,0,150,150,0,152,963,0,0,,,,,,
broadcast_test,rubidium,ls-id-log-20160427091345.log.BMn5Ek.gz,0,0,1,,,32283974627,0,8,8,0,10,529,0,0,,,,,,
broadcast_test,ruthenium,ls-id-log-20160427205023.log.7vlDzm.gz,0,0,0,,,,0,10,10,0,12,194,0,0,,,,,,
broadcast_test,samarium,ls-id-log-20160428001524.log.u0x8Dr.gz,0,0,0,,,,0,47,47,0,55,470,0,0,,,,,,
broadcast_test,scandium,ls-id-log-20160429153213.log.ylWzbB.gz,0,0,1,,,817567240,0,2,2,0,4,16,1,0,,,,,,
broadcast_test,selenium,ls-id-log-20160428012704.log.F4jSRv.gz,0,0,0,,,,0,15,15,0,23,182,0,0,,,,,,
broadcast_test,silicon,ls-id-log-20160427182422.log.Eg2ZQk.gz,1,0,0,18195890,41534285,,0,5,5,0,8,66,2,0,,,,,,
broadcast_test,silver,ls-id-log-20160427152210.log.IhX87y.gz,0,0,0,,,,0,18,18,0,20,275,0,0,,,,,,
broadcast_test,sodium,ls-id-log-20160804192920.log.pKxPBw.gz,0,0,0,,,,0,35,35,0,37,796,2,0,,,,,,
broadcast_test,strontium,ls-id-log-20160427065544.log.lHogkW.gz,0,0,0,,,,0,34,34,0,37,866,0,0,,,,,,
broadcast_test,sulfur,ls-id-log-20160427130822.log.ZeiDpg.gz,0,0,0,,,,1,24,80,56,87,121,6,0,,,,,,
broadcast_test,tantalum,ls-id-log-20160427085759.log.aY7urt.gz,0,0,0,,,,0,40,43,3,42,287,0,0,,,,,,
broadcast_test,technetium,ls-id-log-20160517050500.log.ssMN9q.gz,1,0,0,17611218,39159102,,0,2,2,0,4,6,0,0,bugtype USE AFTER FREE,,,,,
broadcast_test,tellurium,ls-id-log-20160427201552.log.tNPDpN.gz,0,0,0,,,,0,14,14,0,16,391,0,0,,,,,,
broadcast_test,terbium,ls-id-log-20160427064832.log.rWtCNw.gz,0,0,1,,,2268220375,0,4,4,0,6,41,0,0,,,,,,
broadcast_test,thulium,ls-id-log-20160427182743.log.v6TsTq.gz,0,0,0,,,,0,10,10,0,12,613,2,0,,,,,,
broadcast_test,tin,ls-id-log-20160427064623.log.x3GX3G.gz,0,0,0,,,,0,19,19,0,21,224,3,0,,,,,,
broadcast_test,titanium,ls-id-log-20160427180054.log.X4ld1s.gz,0,0,0,,,,1,0,68,68,0,0,0,0,,,,,,
broadcast_test,tungsten,ls-id-log-20160427094144.log.uVUC0s.gz,0,0,1,,,135328905,0,0,0,0,2,4,0,0,,,,,,
broadcast_test,vanadium,ls-id-log-20160427095926.log.isrFkd.gz,0,0,1,,,58635584,0,0,0,0,2,4,0,0,,,,,,
broadcast_test,xenon,ls-id-log-20160427222254.log.sCqpGE.gz,0,0,0,,,,1,22,26,4,28,207,0,0,,,,,,
broadcast_test,ytterbium,ls-id-log-20160429185954.log.cN2Bvn.gz,0,0,1,,,104883311,0,1,1,0,3,8,0,0,,,,,,
broadcast_test,yttrium,ls-id-log-20160427074756.log.LPN2yu.gz,0,0,0,,,,0,101,150,49,192,327,0,0,,,,,,
broadcast_test,zinc,ls-id-log-20160427151056.log.ETeON9.gz,0,0,0,,,,0,8,8,0,10,322,0,0,,,,,,
broadcast_test,zirconium,ls-id-log-20160427130829.log.y8WEvQ.gz,0,0,1,,,147416839,0,0,0,0,2,4,0,0,,,,,,
mutex_test,aluminum,ls-id-log-20151025020656.log.Paj6AG.gz,0,0,1,,,210343959,0,2,2,0,4,15,0,0,,,,,,
mutex_test,antimony,ls-id-log-20151025180521.log.lrGscu.gz,0,0,1,,,169096422,0,1,1,0,3,8,0,0,,,,,,
mutex_test,argon,ls-id-log-20151025062214.log.OxP3Zw.gz,0,0,0,,,,0,11,11,0,13,2011,0,0,,,,,,
mutex_test,arsenic,ls-id-log-20151025021116.log.3wX0Am.gz,0,0,1,,,3800351054,0,5,5,0,7,86,0,0,,,,,,
mutex_test,barium,ls-id-log-20151025021454.log.1BDrOE.gz,1,1,0,167999145,1257818100,,0,22,22,0,24,1439,0,0,"bugtype USERSPACE PANIC: 410user/progs/mutex_test.c:35: failed assertion `num_in_section == 1 && ""o noes, mutex didn't mutually exclude""'",,,,,
mutex_test,beryllium,ls-id-log-20151026103806.log.hde1yg.gz,0,0,1,,,3165939189,0,5,5,0,7,94,0,0,,,,,,
mutex_test,boron,ls-id-log-20151025234459.log.PtC1bR.gz,0,0,1,,,26753649898,0,7,7,0,9,322,0,0,,,,,,
mutex_test,bromine,ls-id-log-20151027012530.log.xjQEH7.gz,0,0,0,,,,0,30,30,0,32,2141,0,0,,,,,,
mutex_test,cadmium,ls-id-log-20151025142529.log.FsVcNY.gz,0,0,1,,,96475170,0,1,1,0,3,8,0,0,,,,,,
mutex_test,caesium,ls-id-log-20151026070718.log.YY38d9.gz,1,1,0,28712104,104576109,,0,10,10,0,12,688,0,0,bugtype Deadlock -- no threads are runnable!,,,,,
mutex_test,calcium,ls-id-log-20151025081012.log.YcdEVH.gz,0,0,0,,,,0,21,21,0,23,1816,0,0,,,,,,
mutex_test,carbon,ls-id-log-20151025142826.log.acQRvZ.gz,0,0,0,,,,0,10,10,0,12,664,0,0,,,,,,
mutex_test,cerium,ls-id-log-20151027002413.log.1QQioO.gz,0,0,0,,,,0,23,23,0,25,1544,0,0,,,,,,
mutex_test,chlorine,ls-id-log-20151025132953.log.QAAUb4.gz,0,0,1,,,1235852497,0,4,4,0,6,45,0,0,,,,,,
mutex_test,chromium,ls-id-log-20151025211829.log.tjdc3l.gz,0,0,1,,,616131512,0,2,2,0,4,16,0,0,,,,,,
mutex_test,cobalt,ls-id-log-20151025072904.log.amRTMF.gz,0,0,1,,,436188396,0,3,3,0,5,32,0,0,,,,,,
mutex_test,copper,ls-id-log-20151026062558.log.sUUKFJ.gz,0,0,0,,,,0,8,8,0,10,470,0,0,,,,,,
mutex_test,dysprosium,ls-id-log-20151025030556.log.ZE6HAD.gz,0,0,1,,,1081387371,0,4,4,0,6,64,0,0,,,,,,
mutex_test,erbium,ls-id-log-20151025062522.log.EzJ6fE.gz,0,0,1,,,646876943,0,4,4,0,6,45,0,0,,,,,,
mutex_test,europium,ls-id-log-20151026001905.log.pnNEnK.gz,0,0,0,,,,0,8,8,0,10,603,0,0,,,,,,
mutex_test,fluorine,ls-id-log-20151026084937.log.sh9YwC.gz,1,1,0,26693495,93975184,,0,42,42,0,44,784,0,0,bugtype Deadlock -- no threads are runnable!,,,,,
mutex_test,gadolinium,ls-id-log-20151025061607.log.Et6PwP.gz,0,0,1,,,91726579,0,1,1,0,3,8,0,0,,,,,,
mutex_test,gallium,ls-id-log-20151025135410.log.9qTGYI.gz,0,0,0,,,,0,8,8,0,10,682,0,0,,,,,,
mutex_test,germanium,ls-id-log-20151025113614.log.BzNVIa.gz,0,0,1,,,187565119,0,2,2,0,4,15,0,0,,,,,,
mutex_test,gold,ls-id-log-20151025093224.log.1VsfyY.gz,0,0,1,,,5708448805,0,8,8,0,10,398,0,0,,,,,,
mutex_test,hafnium,ls-id-log-20151025120333.log.mBNLmg.gz,0,0,1,,,4370462203,0,4,4,0,6,53,0,0,,,,,,
mutex_test,helium,ls-id-log-20151026034616.log.DcUDoT.gz,0,0,1,,,1272924616,0,4,4,0,6,39,0,0,,,,,,
mutex_test,holmium,ls-id-log-20151025092110.log.m1hY7g.gz,0,0,1,,,957509328,0,4,4,0,6,45,0,0,,,,,,
mutex_test,hydrogen,ls-id-log-20151025233350.log.zEbaxA.gz,0,0,0,,,,0,23,23,0,25,1634,1,0,,,,,,
mutex_test,indium,ls-id-log-20151025030501.log.ZVdjMP.gz,0,0,0,,,,0,27,27,0,29,920,0,0,,,,,,
mutex_test,iodine,ls-id-log-20151025173345.log.3UGXDg.gz,0,0,0,,,,0,37,38,1,40,856,0,0,,,,,,
mutex_test,iridium,ls-id-log-20151025144422.log.hEuY5N.gz,0,0,1,,,9294078415,0,7,7,0,9,296,0,0,,,,,,
mutex_test,iron,ls-id-log-20151026000702.log.IMei7O.gz,0,0,1,,,175871502,0,2,2,0,4,16,0,0,,,,,,
mutex_test,kyrpton,ls-id-log-20151025183342.log.7lCpVg.gz,0,0,0,,,,0,24,24,0,26,1718,0,0,,,,,,
mutex_test,lanthanum,ls-id-log-20151025020553.log.23TqBd.gz,0,0,1,,,9101133379,0,6,6,0,8,199,0,0,,,,,,
mutex_test,lithium,ls-id-log-20151027012436.log.hLVWhL.gz,1,1,0,112342651,816080472,,0,27,30,3,32,891,0,0,bugtype [multiple],TID 4 was killed by a page fault! (Faulting eip: 0x1000498; addr: 0x4),TID 5 was killed by a page fault! (Faulting eip: 0x1000498; addr: 0x4),,,
mutex_test,lutetium,ls-id-log-20151025051602.log.pqWU5h.gz,0,0,0,,,,0,5,5,0,7,70,0,0,,,,,,
mutex_test,magnesium,ls-id-log-20151025121949.log.zJ6fiT.gz,0,0,0,,,,0,10,10,0,12,1829,0,0,,,,,,
mutex_test,manganese,ls-id-log-20151026101324.log.bc4cfH.gz,1,1,0,30600370,122546490,,0,21,22,1,24,1125,0,0,bugtype Deadlock -- no threads are runnable!,,,,,
mutex_test,molybdenum,ls-id-log-20151025051246.log.CVihQr.gz,0,0,1,,,93187457,0,1,1,0,3,8,0,0,,,,,,
mutex_test,neodymium,ls-id-log-20151026063113.log.tCttUs.gz,0,0,0,,,,0,5,5,0,7,76,0,0,,,,,,
mutex_test,neon,ls-id-log-20151026122634.log.TxZj6n.gz,0,0,1,,,224604916,0,2,2,0,4,16,0,0,,,,,,
mutex_test,nickel,ls-id-log-20151025030458.log.OHNssW.gz,1,1,0,65549479,375260412,,0,29,37,8,38,1193,2,1,bugtype [multiple],TID 4 was killed by a page fault! (Faulting eip: 0x10010d8; addr: 0x0),TID 5 was killed by a page fault! (Faulting eip: 0x1000f2a; addr: 0x4),TID 5 was killed by a page fault! (Faulting eip: 0x10010d8; addr: 0x0),USE AFTER FREE,
mutex_test,niobium,ls-id-log-20151026104730.log.7v6Z1s.gz,0,0,1,,,959498635,0,4,4,0,6,45,0,0,,,,,,
mutex_test,nitrogen,ls-id-log-20151025224902.log.8rEfoQ.gz,0,0,0,,,,0,46,46,0,48,1351,0,0,,,,,,
mutex_test,osmium,ls-id-log-20151026071524.log.h1OLzD.gz,0,0,0,,,,0,10,10,0,12,921,0,0,,,,,,
