Test name,P2/Pintos group ID (anonymized),Log file name,Bug found?,Timed out?,Bug time (wall=CPU) (usecs),Completion time (usecs),Max ICB bound (table 2 in paper),# interleavings in max ICB bound state space,Elapsed time in completed max ICB bound state space,Estimated progress in max ICB bound state space (weighted backtrack estimator),ETA of max ICB bound state space (recursive estimator (note: may disagree with weighted backtrack estimator)),Bug trace filename
mutex_test,oxygen,ls-id-log-20160111132625.log.masUO4.gz,0,0,,33952684,3,23,13s,,,
mutex_test,palladium,ls-id-log-20160111112801.log.I3OKXf.gz,0,0,,22140375,2,8,9s,,,
mutex_test,phosphorus,ls-id-log-20160111212643.log.sLMrwv.gz,0,0,,22201555,2,8,9s,,,
mutex_test,platinum,ls-id-log-20160111012619.log.gmaBQb.gz,0,0,,27519373,2,13,10s,,,
mutex_test,potassium,ls-id-log-20160111143912.log.HhR3r3.gz,0,0,,29857420,3,21,11s,,,
mutex_test,praseodymium,ls-id-log-20160111112805.log.SVu5NU.gz,0,0,,21512875,2,9,8s,,,
mutex_test,promethium,ls-id-log-20160111013830.log.OTJtiU.gz,0,0,,37775710,2,13,19s,,,
mutex_test,rhenium,ls-id-log-20160111012813.log.BL7MnA.gz,0,0,,36377628,2,13,16s,,,
mutex_test,rhodium,ls-id-log-20160111100717.log.0DmxPP.gz,0,0,,28937454,3,12,9s,,,
mutex_test,rubidium,ls-id-log-20160111132635.log.IUcOSd.gz,0,0,,21467137,2,8,9s,,,
mutex_test,ruthenium,ls-id-log-20160111013716.log.Ae1R94.gz,0,0,,27454453,2,9,10s,,,
mutex_test,samarium,ls-id-log-20160111212723.log.02KHey.gz,0,0,,23956997,2,10,9s,,,
mutex_test,scandium,ls-id-log-20160111132524.log.HwEdKZ.gz,0,0,,20068624,1,6,10s,,,
mutex_test,selenium,ls-id-log-20160111112644.log.46enwg.gz,0,0,,32745757,3,16,11s,,,
mutex_test,silicon,ls-id-log-20160111012515.log.rfIQlF.gz,0,0,,38557196,3,16,16s,,,
mutex_test,silver,ls-id-log-20160111015500.log.caoLn3.gz,0,0,,236472312,3,12,1m 24s,,,
mutex_test,sodium,ls-id-log-20160111043902.log.IDtYOT.gz,0,0,,26822565,2,13,9s,,,
mutex_test,strontium,ls-id-log-20160111112621.log.yV3FFg.gz,0,0,,27283987,2,13,10s,,,
mutex_test,sulfur,ls-id-log-20160111112731.log.1ZhDki.gz,0,0,,56695028,4,50,19s,,,
mutex_test,tantalum,ls-id-log-20160111132511.log.6XYLaR.gz,0,0,,40726970,3,42,17s,,,
mutex_test,technetium,ls-id-log-20160111113039.log.lQ0ujW.gz,0,0,,21560774,2,13,9s,,,
mutex_test,tellurium,ls-id-log-20160111044931.log.foisqN.gz,0,0,,26918067,1,6,8s,,,
mutex_test,terbium,ls-id-log-20160111112952.log.MpEww4.gz,0,0,,18142843,1,6,8s,,,
mutex_test,thulium,ls-id-log-20160111103503.log.TXr9Q5.gz,0,0,,47747256,3,12,20s,,,
mutex_test,tin,ls-id-log-20160111012639.log.NpxcMx.gz,0,0,,30680804,1,22,15s,,,
mutex_test,titanium,ls-id-log-20160111012857.log.Twaoqt.gz,0,0,,948897715,5,277,3m 57s,,,
mutex_test,tungsten,ls-id-log-20160111112725.log.R8gjcL.gz,0,0,,6680961143,2,13,11s,,,
mutex_test,vanadium,ls-id-log-20160111012831.log.ezStjO.gz,0,0,,33272016,2,13,14s,,,
mutex_test,xenon,ls-id-log-20160111012602.log.h0ToK1.gz,0,0,,102650241,3,108,43s,,,
mutex_test,ytterbium,ls-id-log-20160111012510.log.RofuPA.gz,0,0,,28393104,2,12,14s,,,
mutex_test,yttrium,ls-id-log-20160111012533.log.pJXRPc.gz,0,0,,37762076,3,17,16s,,,
mutex_test,zinc,ls-id-log-20160111013704.log.kKFaGU.gz,1,0,30596546,,2,11,,,,landslide-trace-1452494238.12.html
mutex_test,zirconium,ls-id-log-20160111023544.log.lbdLDe.gz,0,0,,63042763,3,25,25s,,,
paradise_lost (aka sem),aluminum,ls-id-log-20160430052806.log.hiSKcp.gz,0,1,,,9,,,65.97%,20h 18m 37s,
paradise_lost (aka sem),antimony,ls-id-log-20160803021402.log.gNEhrO.gz,0,1,,,5,,,25.39%,6d 16h 28m 3s,
paradise_lost (aka sem),argon,ls-id-log-20160430112208.log.1hSXKk.gz,0,0,,775734815,5,833,4m 18s,,,
paradise_lost (aka sem),arsenic,ls-id-log-20160430154718.log.abrL2s.gz,1,0,50988270,,1,43,,,,landslide-trace-1462045651.34.html
paradise_lost (aka sem),barium,ls-id-log-20160429181825.log.6bgdMh.gz,0,1,,,3,,,20.84%,189y 149d 11h 54m 56s,
paradise_lost (aka sem),beryllium,ls-id-log-20160807193352.log.wsPwZP.gz,0,1,,,4,,,53.72%,1d 54m 40s,
paradise_lost (aka sem),boron,ls-id-log-20160505224054.log.nnmLdP.gz,0,1,,,5,,,43.68%,12h 10m 55s,
paradise_lost (aka sem),bromine,ls-id-log-20160505224044.log.r60qYd.gz,0,0,,185341390,1,384,2m 46s,,,
paradise_lost (aka sem),cadmium,ls-id-log-20160807193421.log.FKlYsl.gz,0,1,,,5,,,3.29%,2d 20h 42m 32s,
paradise_lost (aka sem),caesium,ls-id-log-20160430052340.log.kygOie.gz,0,1,,,7,,,25.49%,359d 21h 9m 11s,
paradise_lost (aka sem),calcium,ls-id-log-20160505224036.log.fv5Nc7.gz,0,0,,69930627,3,31,28s,,,
paradise_lost (aka sem),carbon,ls-id-log-20160509225318.log.Pf8phO.gz,0,1,,,4,,,0.65%,133d 21h 54m 10s,
