Test name,P2/Pintos group ID (anonymized),Log file name,Bug found?,Data-race (DR) PPs needed?,Total verif?,Bug wall time (usecs),Bug CPU time (usecs),Verif CPU time (usecs),Completed DR PPs,Total DR PPs,Untested DR PPs,Completed PPs,Completed SSes,Malloc-recycle PPs avoided,Bug type,,,,,,
mutex_test,barium,ls-id-log-20160708030824.log.XeddI8.gz,1,1,0,66257138,427798488,,22,22,0,24,842,0,"bugtype USERSPACE PANIC: 410user/progs/mutex_test.c:35: failed assertion `num_in_section == 1 && ""o noes, mutex didn't mutually exclude""'",,,,,,
mutex_test,beryllium,ls-id-log-20160701084302.log.ZYDYBW.gz,0,0,1,,,718163933,5,5,0,7,94,0,,,,,,,
mutex_test,boron,ls-id-log-20160630223752.log.3IgV9y.gz,0,0,1,,,722522564,7,7,0,9,296,0,,,,,,,
mutex_test,bromine,ls-id-log-20160701084923.log.7twoRI.gz,0,0,0,,,,28,28,0,30,2126,0,,,,,,,
mutex_test,cadmium,ls-id-log-20160701140636.log.SXmjBw.gz,0,0,1,,,581963154,1,1,0,3,8,0,,,,,,,
mutex_test,caesium,ls-id-log-20160701063619.log.EP1eiD.gz,1,1,0,97352367,689775321,,10,10,0,12,846,0,bugtype Deadlock -- no threads are runnable!,,,,,,
mutex_test,calcium,ls-id-log-20160701121937.log.0e7plf.gz,0,0,0,,,,21,21,0,23,1428,0,,,,,,,
mutex_test,carbon,ls-id-log-20160701073742.log.xMhPiT.gz,0,0,0,,,,10,10,0,12,784,0,,,,,,,
mutex_test,cerium,ls-id-log-20160701171629.log.EdoBdB.gz,0,0,0,,,,23,23,0,25,1142,0,,,,,,,
mutex_test,chlorine,ls-id-log-20160701123517.log.7bNafe.gz,0,0,1,,,644003341,4,4,0,6,49,0,,,,,,,
mutex_test,chromium,ls-id-log-20160701085223.log.Xq83UH.gz,0,0,1,,,782438597,2,2,0,4,16,0,,,,,,,
mutex_test,cobalt,ls-id-log-20160701035812.log.wZKYLX.gz,0,0,1,,,697080501,3,3,0,5,28,0,,,,,,,
mutex_test,copper,ls-id-log-20160701160053.log.aWWXUS.gz,0,0,0,,,,8,8,0,10,518,0,,,,,,,
mutex_test,dysprosium,ls-id-log-20160701023313.log.iKL94H.gz,0,0,1,,,666555688,4,4,0,6,53,0,,,,,,,
mutex_test,erbium,ls-id-log-20160630182548.log.vPBBvW.gz,0,0,1,,,682724478,4,4,0,6,49,0,,,,,,,
mutex_test,europium,ls-id-log-20160701043408.log.5pSaPN.gz,0,0,0,,,,8,8,0,10,640,0,,,,,,,
mutex_test,fluorine,ls-id-log-20160701050616.log.Nn6eKZ.gz,1,1,0,40810033,188622730,,37,37,0,39,1528,0,bugtype Deadlock -- no threads are runnable!,,,,,,
mutex_test,gadolinium,ls-id-log-20160701030012.log.LqUy4W.gz,0,0,1,,,671125176,1,1,0,3,8,0,,,,,,,
mutex_test,gallium,ls-id-log-20160701164054.log.C7pheG.gz,0,0,0,,,,8,8,0,10,598,0,,,,,,,
mutex_test,germanium,ls-id-log-20160701083905.log.dt7ZSR.gz,0,0,1,,,707084674,2,2,0,4,15,0,,,,,,,
mutex_test,gold,ls-id-log-20160701195024.log.2c3chG.gz,0,0,1,,,599630269,8,8,0,10,397,0,,,,,,,
mutex_test,hafnium,ls-id-log-20160701003840.log.N0sYmr.gz,0,0,1,,,648722285,4,4,0,6,53,0,,,,,,,
